學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1054,景文科技大學,D 日,C 二技,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,01 新北市,2 技職
1054,景文科技大學,N 職,M 碩士,28,19,29,19,3,2,3,1,0,0,0,0,0,0,0,0,01 新北市,2 技職
1054,景文科技大學,N 修,B 四技,261,203,171,195,154,185,158,183,0,0,0,0,0,0,63,27,01 新北市,2 技職
1054,景文科技大學,N 修,C 二技,0,0,0,0,63,100,85,122,0,0,0,0,0,0,3,2,01 新北市,2 技職
1055,中華醫事科技大學,D 日,M 碩士,24,25,19,12,5,3,3,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,B 四技,372,508,537,667,516,607,418,564,0,0,0,0,0,0,103,65,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,C 二技,0,0,0,0,89,292,39,295,0,0,0,0,0,0,6,27,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,2 二專,27,23,21,25,0,0,0,0,0,0,0,0,0,0,2,1,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,5 五專,143,501,121,427,89,351,100,321,54,309,0,0,0,0,9,18,11 臺南市,2 技職
1055,中華醫事科技大學,N 職,M 碩士,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,B 四技,113,100,79,89,85,114,71,109,12,24,0,0,0,0,49,36,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,C 二技,0,0,0,0,87,284,66,322,0,0,0,0,0,0,33,78,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,2 二專,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1056,東南科技大學,D 日,M 碩士,47,10,54,10,11,1,2,2,0,0,0,0,0,0,0,0,01 新北市,2 技職
1056,東南科技大學,D 日,B 四技,781,441,1010,538,935,523,1001,542,0,0,0,0,0,0,232,69,01 新北市,2 技職
1056,東南科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01 新北市,2 技職
1056,東南科技大學,N 職,M 碩士,17,7,19,0,0,0,4,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1056,東南科技大學,N 修,B 四技,173,63,86,23,85,32,59,27,0,0,0,0,0,0,38,12,01 新北市,2 技職
1056,東南科技大學,N 修,C 二技,0,0,0,0,11,2,35,5,0,0,0,0,0,0,1,2,01 新北市,2 技職
1057,德明財經科技大學,D 日,M 碩士,10,18,17,8,6,2,7,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1057,德明財經科技大學,D 日,B 四技,737,1078,662,1107,605,1131,581,1168,0,0,0,0,0,0,166,119,30 臺北市,2 技職
1057,德明財經科技大學,D 日,C 二技,0,0,0,0,20,49,14,37,0,0,0,0,0,0,1,0,30 臺北市,2 技職
1057,德明財經科技大學,N 職,M 碩士,14,13,17,8,6,3,5,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1057,德明財經科技大學,N 修,B 四技,129,129,126,161,150,175,142,171,0,0,0,0,0,0,57,33,30 臺北市,2 技職
1057,德明財經科技大學,N 修,C 二技,0,0,0,0,19,14,13,22,0,0,0,0,0,0,2,1,30 臺北市,2 技職
1058,明道大學,D 日,D 博士,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1058,明道大學,D 日,M 碩士,52,34,29,32,14,12,10,6,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1058,明道大學,D 日,B 學士,419,306,493,441,470,354,482,380,0,0,0,0,0,0,82,39,07 彰化縣,1 一般
1058,明道大學,N 職,M 碩士,13,26,5,14,1,3,3,2,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1058,明道大學,P 進,B 學士,208,142,177,88,171,101,177,105,0,0,0,0,0,0,34,30,07 彰化縣,1 一般
1060,南開科技大學,D 日,M 碩士,31,13,29,12,11,5,2,3,0,0,0,0,0,0,0,0,08 南投縣,2 技職
1060,南開科技大學,D 日,B 四技,483,239,589,309,559,294,572,326,0,0,0,0,0,0,104,33,08 南投縣,2 技職
1060,南開科技大學,D 日,C 二技,0,0,0,0,22,5,23,14,0,0,0,0,0,0,1,1,08 南投縣,2 技職
1060,南開科技大學,D 日,5 五專,157,30,207,43,134,32,124,39,171,63,0,0,0,0,25,1,08 南投縣,2 技職
1060,南開科技大學,N 職,M 碩士,14,19,18,39,4,2,5,6,0,0,0,0,0,0,0,0,08 南投縣,2 技職
1060,南開科技大學,N 修,B 四技,147,81,149,85,168,92,143,83,0,0,0,0,0,0,58,19,08 南投縣,2 技職
1061,中華科技大學,D 日,M 碩士,89,28,76,24,10,3,7,2,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1061,中華科技大學,D 日,B 四技,755,424,909,508,943,467,981,553,0,0,0,0,0,0,201,60,30 臺北市,2 技職
1061,中華科技大學,D 日,C 二技,0,0,0,0,1,20,6,7,0,0,0,0,0,0,1,0,30 臺北市,2 技職
1061,中華科技大學,N 職,M 碩士,36,12,41,12,7,0,3,0,0,0,1,0,0,0,0,0,30 臺北市,2 技職
1061,中華科技大學,N 修,B 四技,253,44,147,41,152,54,119,61,0,0,0,0,0,0,65,14,30 臺北市,2 技職
1061,中華科技大學,N 修,C 二技,0,0,0,0,83,73,81,32,0,0,0,0,0,0,0,1,30 臺北市,2 技職
1061,中華科技大學,N 修,2 二專,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1062,僑光科技大學,D 日,M 碩士,10,13,21,16,3,4,1,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1062,僑光科技大學,D 日,B 四技,589,952,632,1011,565,1033,566,950,0,0,0,0,0,0,66,46,19 臺中市,2 技職
1062,僑光科技大學,D 日,C 二技,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1062,僑光科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19 臺中市,2 技職
1062,僑光科技大學,D 日,5 五專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,19 臺中市,2 技職
1062,僑光科技大學,N 職,M 碩士,11,8,11,10,0,0,1,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1062,僑光科技大學,N 修,B 四技,651,526,428,440,404,455,386,477,0,0,0,0,0,0,83,65,19 臺中市,2 技職
1062,僑光科技大學,N 修,C 二技,0,0,0,0,37,24,22,13,0,0,0,0,0,0,0,1,19 臺中市,2 技職
1062,僑光科技大學,N 修,2 二專,6,9,52,36,0,0,0,0,0,0,0,0,0,0,4,1,19 臺中市,2 技職
1063,育達科技大學,D 日,M 碩士,31,27,13,6,6,6,2,2,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職
1063,育達科技大學,D 日,B 四技,277,293,371,410,377,432,361,405,0,0,0,0,0,0,133,76,05 苗栗縣,2 技職
1063,育達科技大學,D 日,C 二技,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,1,05 苗栗縣,2 技職
1063,育達科技大學,N 職,M 碩士,57,34,19,12,5,0,2,0,1,0,0,0,0,0,0,0,05 苗栗縣,2 技職
1063,育達科技大學,N 修,B 四技,205,150,152,137,132,127,147,85,0,0,0,0,0,0,39,25,05 苗栗縣,2 技職
1063,育達科技大學,N 修,C 二技,0,0,0,0,80,136,26,94,0,0,0,0,0,0,3,6,05 苗栗縣,2 技職
1064,美和科技大學,D 日,M 碩士,30,36,18,26,4,11,1,3,0,0,0,0,0,0,0,0,13 屏東縣,2 技職
1064,美和科技大學,D 日,B 四技,373,457,401,482,394,474,370,469,0,0,0,0,0,0,45,22,13 屏東縣,2 技職
1064,美和科技大學,D 日,C 二技,0,0,0,0,22,212,17,215,0,0,0,0,0,0,1,3,13 屏東縣,2 技職
1064,美和科技大學,D 日,5 五專,59,331,41,328,29,312,30,279,36,296,0,0,0,0,8,22,13 屏東縣,2 技職
1064,美和科技大學,N 職,M 碩士,24,47,28,55,7,22,2,8,0,0,0,0,0,0,0,0,13 屏東縣,2 技職
1064,美和科技大學,N 修,B 四技,113,188,70,85,83,98,101,101,0,0,0,0,0,0,19,14,13 屏東縣,2 技職
1064,美和科技大學,N 修,C 二技,0,0,0,0,35,369,40,379,0,0,0,0,0,0,25,44,13 屏東縣,2 技職
1064,美和科技大學,N 修,2 二專,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 屏東縣,2 技職
1065,吳鳳科技大學,D 日,M 碩士,17,11,12,13,1,0,2,0,0,0,0,0,0,0,0,0,10 嘉義縣,2 技職
1065,吳鳳科技大學,D 日,B 四技,619,323,649,331,659,299,687,302,0,0,0,0,0,0,97,25,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 職,M 碩士,24,19,22,14,1,0,0,0,0,1,0,0,0,0,0,0,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,B 四技,156,50,172,62,210,78,172,70,0,0,0,0,0,0,27,9,10 嘉義縣,2 技職
1066,環球科技大學,D 日,M 碩士,37,32,30,24,2,8,3,3,0,0,0,0,0,0,0,0,09 雲林縣,2 技職
1066,環球科技大學,D 日,B 四技,379,449,502,519,541,598,368,440,0,0,0,0,0,0,92,43,09 雲林縣,2 技職
1066,環球科技大學,D 日,C 二技,0,0,0,0,0,3,2,2,0,0,0,0,0,0,2,1,09 雲林縣,2 技職
1066,環球科技大學,N 職,M 碩士,16,11,10,8,0,0,0,1,0,0,0,0,0,0,0,0,09 雲林縣,2 技職
1066,環球科技大學,N 修,B 四技,154,221,127,160,157,172,114,83,0,0,0,0,0,0,21,4,09 雲林縣,2 技職
1066,環球科技大學,N 修,C 二技,0,0,0,0,47,91,38,87,0,0,0,0,0,0,1,1,09 雲林縣,2 技職
1066,環球科技大學,N 修,2 二專,77,63,60,69,0,0,0,0,0,0,0,0,0,0,9,4,09 雲林縣,2 技職
1067,台灣首府大學,D 日,M 碩士,9,19,14,16,0,2,0,0,0,1,0,0,0,0,0,0,11 臺南市,1 一般
1067,台灣首府大學,D 日,B 學士,263,299,341,326,397,330,315,277,0,0,0,0,0,0,71,44,11 臺南市,1 一般
1067,台灣首府大學,N 修,C 二技,0,0,0,0,11,24,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1067,台灣首府大學,P 進,B 學士,70,43,80,41,68,63,76,70,0,0,0,0,0,0,19,16,11 臺南市,1 一般
1068,中州科技大學,D 日,M 碩士,9,13,8,4,5,1,5,1,2,0,0,0,0,0,0,0,07 彰化縣,2 技職
1068,中州科技大學,D 日,B 四技,280,246,390,258,360,252,331,229,0,0,0,0,0,0,52,10,07 彰化縣,2 技職
1068,中州科技大學,D 日,C 二技,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職
1068,中州科技大學,N 職,M 碩士,18,5,6,2,0,1,1,0,0,2,0,0,0,0,0,0,07 彰化縣,2 技職
1068,中州科技大學,N 修,B 四技,166,115,148,96,139,81,139,57,0,0,0,0,0,0,28,5,07 彰化縣,2 技職
1068,中州科技大學,N 修,C 二技,0,0,0,0,120,255,20,58,0,0,0,0,0,0,1,2,07 彰化縣,2 技職
1069,修平科技大學,D 日,M 碩士,19,14,13,4,6,1,0,0,0,0,0,0,0,0,0,0,06 臺中市,2 技職
1069,修平科技大學,D 日,B 四技,691,389,802,484,811,497,761,438,0,0,0,0,0,0,180,61,06 臺中市,2 技職
1069,修平科技大學,N 職,M 碩士,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,06 臺中市,2 技職
1069,修平科技大學,N 修,B 四技,223,58,154,23,137,21,113,13,0,0,0,0,0,0,45,8,06 臺中市,2 技職
1069,修平科技大學,N 修,2 二專,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06 臺中市,2 技職
1070,長庚科技大學,D 日,M 碩士,1,25,2,19,1,8,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1070,長庚科技大學,D 日,B 四技,131,789,96,675,57,551,58,539,0,0,0,0,0,0,3,9,03 桃園市,2 技職
1070,長庚科技大學,D 日,C 二技,0,0,0,0,13,708,27,692,0,0,0,0,0,0,0,3,03 桃園市,2 技職
1070,長庚科技大學,D 日,5 五專,0,0,7,107,17,201,14,205,8,260,0,0,0,0,4,23,03 桃園市,2 技職
1070,長庚科技大學,N 職,M 碩士,0,30,0,21,1,9,1,6,0,1,0,0,0,0,0,0,03 桃園市,2 技職
1070,長庚科技大學,N 修,C 二技,0,0,0,0,40,618,24,653,26,374,0,0,0,0,2,11,03 桃園市,2 技職
1071,臺北城市科技大學,D 日,M 碩士,32,11,26,11,15,6,6,2,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,B 四技,1082,666,1014,713,1084,716,972,659,0,0,0,0,0,0,270,112,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,5 五專,264,108,249,104,169,78,197,90,219,97,0,0,0,0,17,7,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,B 四技,192,98,120,32,144,50,130,55,0,0,0,0,0,0,35,11,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,2 二專,19,15,15,5,0,0,0,0,0,0,0,0,0,0,3,1,30 臺北市,2 技職
1072,大華科技大學,D 日,M 碩士,4,0,5,0,6,0,7,0,0,0,0,0,0,0,0,0,04 新竹縣,2 技職
1072,大華科技大學,D 日,B 四技,106,85,103,60,156,61,182,125,0,0,0,0,0,0,74,37,04 新竹縣,2 技職
1072,大華科技大學,D 日,C 二技,0,0,0,0,17,16,14,28,0,0,0,0,0,0,1,2,04 新竹縣,2 技職
1072,大華科技大學,D 日,5 五專,65,55,119,58,75,55,141,92,149,128,0,0,0,0,6,3,04 新竹縣,2 技職
1072,大華科技大學,N 職,M 碩士,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,04 新竹縣,2 技職
1072,大華科技大學,N 修,B 四技,76,25,97,31,93,33,81,52,0,0,0,0,0,0,31,11,04 新竹縣,2 技職
1072,大華科技大學,N 修,C 二技,0,0,0,0,391,119,256,66,0,0,0,0,0,0,3,3,04 新竹縣,2 技職
1072,大華科技大學,N 修,2 二專,134,48,0,0,0,0,0,0,0,0,0,0,0,0,5,0,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,18,10,15,8,11,1,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,493,708,579,898,547,995,605,853,0,0,0,0,0,0,97,63,01 新北市,2 技職
1073,醒吾科技大學,D 日,C 二技,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,80,109,110,174,66,110,85,179,72,190,0,0,0,0,2,1,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,38,13,16,15,3,4,6,1,0,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,229,230,69,59,99,103,136,126,0,0,0,0,0,0,46,10,01 新北市,2 技職
1074,南榮科技大學,D 日,M 碩士,10,7,8,9,1,0,1,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1074,南榮科技大學,D 日,B 四技,138,80,217,171,286,160,171,133,0,0,0,0,0,0,30,14,11 臺南市,2 技職
1074,南榮科技大學,D 日,C 二技,0,0,0,0,14,0,17,2,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1074,南榮科技大學,D 日,5 五專,21,8,27,11,34,11,49,17,56,20,0,0,0,0,3,1,11 臺南市,2 技職
1074,南榮科技大學,N 職,M 碩士,10,3,6,10,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1074,南榮科技大學,N 修,B 四技,61,35,116,58,168,125,196,112,0,0,0,0,0,0,44,8,11 臺南市,2 技職
1074,南榮科技大學,N 修,C 二技,0,0,0,0,12,7,20,22,0,0,0,0,0,0,3,0,11 臺南市,2 技職
1074,南榮科技大學,N 修,2 二專,30,30,39,44,0,0,0,0,0,0,0,0,0,0,11,7,11 臺南市,2 技職
1075,文藻外語大學,D 日,M 碩士,16,46,8,39,4,18,4,13,0,0,0,0,0,0,0,0,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,308,934,270,986,214,981,231,976,0,0,0,0,0,0,86,236,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,0,0,0,0,22,109,23,140,0,0,0,0,0,0,2,22,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,53,266,65,296,55,292,58,277,47,291,0,0,0,0,9,25,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,6,14,0,15,5,11,2,4,1,2,0,0,0,0,0,0,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,190,361,113,279,90,250,96,233,0,0,0,0,0,0,43,136,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,0,0,0,0,21,65,15,48,0,0,0,0,0,0,6,20,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,19,3,12,3,1,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,366,245,509,276,474,255,410,280,0,0,0,0,0,0,71,25,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,0,0,0,0,34,6,35,10,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,159,16,117,16,79,16,81,17,69,19,0,0,0,0,6,1,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,16,9,17,5,9,3,4,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,121,77,122,61,141,80,110,72,0,0,0,0,0,0,33,7,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,0,0,0,0,71,16,49,12,0,0,0,0,0,0,2,1,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,29,56,82,75,0,0,0,0,0,0,0,0,0,0,11,5,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,6,2,7,1,6,5,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,167,195,146,134,150,160,110,118,0,0,0,0,0,0,37,14,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,0,0,0,0,8,139,7,123,0,0,0,0,0,0,0,2,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,34,229,32,217,29,212,26,210,22,218,0,0,0,0,5,30,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,0,0,0,0,4,58,1,41,0,0,0,0,0,0,1,18,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,5,15,2,11,1,3,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,489,1053,495,1057,432,1092,458,1065,0,0,0,0,0,0,111,127,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,0,0,0,0,23,99,65,147,0,0,0,0,0,0,7,10,01 新北市,2 技職
1078,致理科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,71,267,60,273,61,257,47,267,56,246,0,0,0,0,11,20,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,4,13,3,9,0,2,0,1,2,3,0,0,0,0,0,0,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,252,516,286,470,225,508,226,462,0,0,0,0,0,0,68,78,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,0,0,0,0,49,103,25,73,0,0,0,0,0,0,10,9,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,27,58,18,21,12,6,4,3,1,0,0,0,0,0,0,0,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,84,84,131,89,155,185,165,166,0,0,0,0,0,0,49,29,30 臺北市,1 一般
1079,康寧大學,D 日,2 二專,5,14,5,13,0,0,0,0,0,0,0,0,0,0,0,1,30 臺北市,2 技職
1079,康寧大學,D 日,5 五專,151,501,132,494,124,437,125,427,98,423,0,0,0,0,5,26,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,37,52,16,33,15,8,2,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1079,康寧大學,N 修,2 二專,45,149,22,118,0,0,0,0,0,0,0,0,0,0,0,4,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,121,56,96,51,57,38,30,26,0,0,0,0,0,0,13,1,30 臺北市,1 一般
1125,中信金融管理學院,D 日,M 碩士,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,70,82,61,78,6,4,6,5,0,0,0,0,0,0,0,1,21 臺南市,1 一般
1125,中信金融管理學院,P 進,B 學士,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,33,5,19,15,16,1,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,65,30,60,32,77,33,83,42,0,0,0,0,0,0,42,26,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,C 二技,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,78,31,64,33,45,33,54,46,0,0,0,0,0,0,6,1,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,0,0,0,0,107,78,66,43,0,0,0,0,0,0,0,1,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,68,60,45,55,0,0,0,0,0,0,0,0,0,0,2,0,15 花蓮縣,2 技職
1159,和春技術學院,D 日,M 碩士,18,2,14,2,3,0,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1159,和春技術學院,D 日,B 四技,136,121,146,117,146,56,137,71,0,0,0,0,0,0,99,31,12 高雄市,2 技職
1159,和春技術學院,D 日,C 二技,0,0,0,0,12,18,6,6,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1159,和春技術學院,D 日,5 五專,60,69,43,22,35,18,41,34,44,23,0,0,0,0,15,3,12 高雄市,2 技職
1159,和春技術學院,N 修,B 四技,83,59,120,33,87,34,99,31,0,0,0,0,0,0,56,19,12 高雄市,2 技職
1159,和春技術學院,N 修,C 二技,0,0,0,0,180,82,129,51,0,0,0,0,0,0,4,0,12 高雄市,2 技職
1159,和春技術學院,N 修,2 二專,297,102,263,93,0,0,0,0,0,0,0,0,0,0,15,2,12 高雄市,2 技職
1166,亞東技術學院,D 日,M 碩士,11,5,7,5,5,1,2,0,0,0,1,0,0,0,0,0,01 新北市,2 技職
1166,亞東技術學院,D 日,B 四技,746,269,744,296,732,320,758,327,0,0,0,0,0,0,152,28,01 新北市,2 技職
1166,亞東技術學院,D 日,C 二技,0,0,0,0,0,92,5,84,0,0,0,0,0,0,1,9,01 新北市,2 技職
1166,亞東技術學院,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,01 新北市,2 技職
1166,亞東技術學院,N 修,B 四技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,01 新北市,2 技職
1166,亞東技術學院,N 修,C 二技,0,0,0,0,1,24,0,26,0,24,0,0,0,0,0,0,01 新北市,2 技職
1168,南亞技術學院,D 日,M 碩士,12,9,11,1,6,2,3,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1168,南亞技術學院,D 日,B 四技,330,268,337,275,386,332,471,422,0,0,0,0,0,0,140,87,03 桃園市,2 技職
1168,南亞技術學院,D 日,5 五專,56,48,73,68,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1168,南亞技術學院,N 修,B 四技,179,69,161,64,159,94,140,93,0,0,0,0,0,0,49,28,03 桃園市,2 技職
1168,南亞技術學院,N 修,2 二專,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職
1176,稻江科技暨管理學院,D 日,M 碩士,14,22,15,10,0,3,0,0,3,0,0,0,0,0,0,0,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,D 日,B 學士,248,258,122,110,151,155,132,116,0,0,0,0,0,0,34,26,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,N 職,M 碩士,17,10,8,11,1,1,0,0,0,0,0,0,0,0,0,0,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,N 修,C 二技,0,0,0,0,7,35,8,39,0,0,0,0,0,0,2,4,10 嘉義縣,2 技職
1176,稻江科技暨管理學院,P 進,B 學士,69,94,50,69,55,103,62,103,0,0,0,0,0,0,12,7,10 嘉義縣,1 一般
1179,德霖技術學院,D 日,B 四技,397,242,434,317,451,348,368,308,0,0,0,0,0,0,114,47,01 新北市,2 技職
1179,德霖技術學院,D 日,C 二技,0,0,0,0,8,31,10,22,0,0,0,0,0,0,2,2,01 新北市,2 技職
1179,德霖技術學院,D 日,5 五專,247,119,210,114,189,121,211,122,231,127,0,0,0,0,20,14,01 新北市,2 技職
1179,德霖技術學院,N 修,B 四技,374,200,232,117,165,94,203,97,0,0,0,0,0,0,61,19,01 新北市,2 技職
1179,德霖技術學院,N 修,C 二技,0,0,0,0,155,90,153,61,0,0,0,0,0,0,10,2,01 新北市,2 技職
1179,德霖技術學院,N 修,2 二專,101,70,92,112,0,0,0,0,0,0,0,0,0,0,15,8,01 新北市,2 技職
1182,蘭陽技術學院,D 日,B 四技,93,98,84,50,77,76,152,85,0,0,0,0,0,0,33,22,02 宜蘭縣,2 技職
1182,蘭陽技術學院,D 日,C 二技,0,0,0,0,0,0,14,9,0,0,0,0,0,0,2,0,02 宜蘭縣,2 技職
1182,蘭陽技術學院,D 日,5 五專,109,58,85,67,33,22,75,41,92,60,0,0,0,0,21,4,02 宜蘭縣,2 技職
1182,蘭陽技術學院,N 修,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,02 宜蘭縣,2 技職
1183,黎明技術學院,D 日,B 四技,399,389,354,354,375,322,384,265,0,0,0,0,0,0,68,25,01 新北市,2 技職
1183,黎明技術學院,D 日,C 二技,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,01 新北市,2 技職
1183,黎明技術學院,D 日,5 五專,96,19,142,17,139,25,155,23,155,23,0,0,0,0,24,7,01 新北市,2 技職
1183,黎明技術學院,N 修,B 四技,161,89,131,39,122,52,85,45,0,0,0,0,0,0,26,8,01 新北市,2 技職
1183,黎明技術學院,N 修,C 二技,0,0,0,0,1,49,5,54,0,0,0,0,0,0,0,0,01 新北市,2 技職
1183,黎明技術學院,N 修,2 二專,9,61,1,2,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1184,東方設計學院,D 日,D 博士,6,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1184,東方設計學院,D 日,M 碩士,22,38,18,15,6,5,1,3,0,0,0,0,0,0,0,0,12 高雄市,2 技職
1184,東方設計學院,D 日,B 四技,170,149,197,173,181,227,205,255,4,4,0,0,0,0,41,34,12 高雄市,2 技職
1184,東方設計學院,D 日,C 二技,0,0,0,0,8,12,12,5,0,0,0,0,0,0,1,0,12 高雄市,2 技職
1184,東方設計學院,D 日,5 五專,127,150,173,208,113,178,128,214,121,169,0,0,0,0,8,6,12 高雄市,2 技職
1184,東方設計學院,N 職,M 碩士,9,6,10,2,4,3,2,0,0,0,0,0,0,0,0,0,12 高雄市,2 技職
