"long","lat","鄉鎮市區"
121.543841724,25.044906697,"大安區"
121.544074128,25.0449280910001,"大安區"
121.544898383,25.0450396200001,"大安區"
121.545344858,25.045100473,"大安區"
121.545882907,25.0451713900001,"大安區"
121.546340824,25.0452321810001,"大安區"
121.546535366,25.0452418840001,"大安區"
121.546743078,25.0452167030001,"大安區"
121.547244335,25.0451559350001,"大安區"
121.54787331,25.045091126,"大安區"
121.548387826,25.045016316,"大安區"
121.548932519,25.0449544200001,"大安區"
121.549051075,25.044940947,"大安區"
121.550155639,25.0448008710001,"大安區"
121.550544443,25.044757765,"大安區"
121.551127603,25.0446826840001,"大安區"
121.551790896,25.0446177210001,"大安區"
121.552374101,25.0445530530001,"大安區"
121.552451625,25.044542677,"大安區"
121.552934377,25.044478068,"大安區"
121.553002174,25.0444736030001,"大安區"
121.553437636,25.0444449390001,"大安區"
121.55377979,25.0444280740001,"大安區"
121.553895174,25.0444223870001,"大安區"
121.554038423,25.044426865,"大安區"
121.554192682,25.044431687,"大安區"
121.554707895,25.044513076,"大安區"
121.555120233,25.0446156740001,"大安區"
121.555280594,25.04465673,"大安區"
121.555509741,25.0447287750001,"大安區"
121.555550099,25.0447367470001,"大安區"
121.556134498,25.0448521710001,"大安區"
121.55691323,25.045015875,"大安區"
121.557382872,25.0451390810001,"大安區"
121.557686546,25.045209533,"大安區"
121.557697073,25.045156111,"大安區"
121.557696206,25.0449650980001,"大安區"
121.55768026,25.044753685,"大安區"
121.557679022,25.044480826,"大安區"
121.557670105,25.044167062,"大安區"
121.557668186,25.043744125,"大安區"
121.557634748,25.042953572,"大安區"
121.557625522,25.042571593,"大安區"
121.557624378,25.042319191,"大安區"
121.557623388,25.0421009060001,"大安區"
121.557621778,25.041746183,"大安區"
121.557613266,25.0415211000001,"大安區"
121.557606302,25.0413544360001,"大安區"
121.557596453,25.041118682,"大安區"
121.557586671,25.040613916,"大安區"
121.557577885,25.040335902,"大安區"
121.557566246,25.0394218360001,"大安區"
121.557549065,25.038937564,"大安區"
121.557554673,25.0385214140001,"大安區"
121.557544952,25.0380302880001,"大安區"
121.55753365,25.0377016420001,"大安區"
121.557527428,25.0375207010001,"大安區"
121.557517122,25.036899969,"大安區"
121.557509194,25.0368044910001,"大安區"
121.55749189,25.0362929270001,"大安區"
121.557490776,25.0360473590001,"大安區"
121.55748886,25.035624419,"大安區"
121.557479543,25.0352219730001,"大安區"
121.557478843,25.035067842,"大安區"
121.557478491,25.034990038,"大安區"
121.557453321,25.034384033,"大安區"
121.557452676,25.0342419570001,"大安區"
121.5574523,25.034158931,"大安區"
121.557450661,25.033797382,"大安區"
121.557442703,25.033695089,"大安區"
121.557432982,25.0332039610001,"大安區"
121.557432483,25.0330938470001,"大安區"
121.557431839,25.032951568,"大安區"
121.557429704,25.032480879,"大安區"
121.557412863,25.032071638,"大安區"
121.557402181,25.031336304,"大安區"
121.557406955,25.030735984,"大安區"
121.557397451,25.030292606,"大安區"
121.557403213,25.0299105710001,"大安區"
121.557386649,25.0295627170001,"大安區"
121.557365484,25.0294271560001,"大安區"
121.557355781,25.02936501,"大安區"
121.557250015,25.0291744,"大安區"
121.557066542,25.028828951,"大安區"
121.556991089,25.028713268,"大安區"
121.556847521,25.028447767,"大安區"
121.556613702,25.028107553,"大安區"
121.556402731,25.02784913,"大安區"
121.556199531,25.027652049,"大安區"
121.556015161,25.0274808180001,"大安區"
121.555938475,25.027409596,"大安區"
121.555936176,25.0274074610001,"大安區"
121.555740719,25.0272649430001,"大安區"
121.555424701,25.0269727930001,"大安區"
121.554980753,25.026558331,"大安區"
121.554770066,25.026361293,"大安區"
121.554248181,25.0258799750001,"大安區"
121.553939719,25.0256014460001,"大安區"
121.553706434,25.0253771910001,"大安區"
121.55334531,25.025051105,"大安區"
121.552954097,25.024697829,"大安區"
121.552615549,25.024392107,"大安區"
121.55263923,25.024363113,"大安區"
121.55295087,25.0239815610001,"大安區"
121.55336139,25.023632127,"大安區"
121.553555411,25.023494052,"大安區"
121.553687494,25.0233711490001,"大安區"
121.55388393,25.0232138520001,"大安區"
121.554115977,25.0229942190001,"大安區"
121.554348005,25.022768446,"大安區"
121.554626448,25.022500059,"大安區"
121.55469644,25.0224358080001,"大安區"
121.554979213,25.022176222,"大安區"
121.555197332,25.0219674750001,"大安區"
121.555554737,25.021639377,"大安區"
121.555902876,25.0213240520001,"大安區"
121.556397026,25.020856371,"大安區"
121.556614974,25.0206475880001,"大安區"
121.556717234,25.020549626,"大安區"
121.557097819,25.02019598,"大安區"
121.557561931,25.019761396,"大安區"
121.557846638,25.019498866,"大安區"
121.558078654,25.0192730880001,"大安區"
121.558190085,25.0191793100001,"大安區"
121.558224801,25.0191473030001,"大安區"
121.558453285,25.0189523850001,"大安區"
121.558686607,25.0187296180001,"大安區"
121.55895935,25.0184423800001,"大安區"
121.559003782,25.018395587,"大安區"
121.559321075,25.01808715,"大安區"
121.559647659,25.017761615,"大安區"
121.559955652,25.0174702820001,"大安區"
121.560132847,25.0172733270001,"大安區"
121.560262744,25.0169826660001,"大安區"
121.560401462,25.016572485,"大安區"
121.560522137,25.0163159850001,"大安區"
121.560656196,25.0161037620001,"大安區"
121.56087068,25.0158639700001,"大安區"
121.561206423,25.0154957300001,"大安區"
121.561486634,25.0152813020001,"大安區"
121.561832062,25.0149812850001,"大安區"
121.562037129,25.014733005,"大安區"
121.562232783,25.014476227,"大安區"
121.562372276,25.0142367290001,"大安區"
121.56255828,25.013920258,"大安區"
121.562679302,25.0137405670001,"大安區"
121.562856798,25.013611875,"大安區"
121.56306249,25.0135001520001,"大安區"
121.563305629,25.013379742,"大安區"
121.56339849,25.013191625,"大安區"
121.563471858,25.0128414280001,"大安區"
121.563471217,25.012433559,"大安區"
121.563441799,25.01215204,"大安區"
121.563431954,25.0120496540001,"大安區"
121.563421951,25.0119131420001,"大安區"
121.563430851,25.011810692,"大安區"
121.563485907,25.0115544490001,"大安區"
121.563587982,25.011332161,"大安區"
121.563755863,25.0111522990001,"大安區"
121.564026523,25.010903758,"大安區"
121.564260009,25.0107236370001,"大安區"
